tractID,1980,1990,2000,2010
17031010100,2,3,0,2
17031010201,2,2,2,2
17031010202,2,2,2,2
17031010300,2,2,2,2
17031010400,5,5,2,5
17031010501,2,2,2,2
17031010502,2,2,2,2
17031010503,2,2,2,5
17031010600,2,2,2,2
17031010701,2,2,2,2
17031010702,2,2,2,3
17031020100,1,2,2,2
17031020200,1,1,1,2
17031020301,1,1,1,1
17031020302,1,1,1,2
17031020400,2,2,2,2
17031020500,2,2,2,2
17031020601,2,2,2,2
17031020602,2,2,2,2
17031020701,2,2,2,1
17031020702,2,2,2,2
17031020801,2,2,2,2
17031020802,2,2,2,2
17031020901,2,2,2,2
17031020902,2,2,2,2
17031030101,5,2,2,2
17031030102,5,2,2,2
17031030103,5,2,2,2
17031030104,5,2,2,2
17031030200,2,2,5,5
17031030300,2,2,2,2
17031030400,2,2,2,2
17031030500,2,2,2,5
17031030601,2,5,2,2
17031030603,2,5,2,2
17031030604,2,5,2,2
17031030701,2,5,2,2
17031030702,2,5,2,2
17031030703,2,5,2,5
17031030706,2,5,2,2
17031030800,2,5,5,5
17031030900,2,2,2,5
17031031000,2,2,2,5
17031031100,2,2,2,5
17031031200,2,2,2,2
17031031300,5,5,2,2
17031031400,5,5,5,5
17031031501,2,2,2,2
17031031502,2,2,2,2
17031031700,3,2,5,5
17031031800,2,2,2,5
17031031900,2,2,5,5
17031032100,3,5,5,5
17031040100,2,2,2,2
17031040201,2,2,2,2
17031040202,2,2,2,2
17031040300,2,2,2,2
17031040401,2,2,2,2
17031040402,2,2,2,5
17031040600,2,2,5,5
17031040700,2,2,2,5
17031040800,2,2,5,5
17031040900,2,2,5,5
17031050100,2,2,5,5
17031050200,2,2,5,5
17031050300,2,2,2,5
17031050500,2,2,5,5
17031050600,2,2,5,5
17031050700,2,2,5,5
17031050800,2,2,5,5
17031050900,2,2,5,5
17031051000,2,2,5,5
17031051100,3,2,5,5
17031051200,2,3,5,5
17031051300,2,2,5,5
17031051400,3,3,2,5
17031060100,2,5,5,5
17031060200,2,2,5,5
17031060300,2,2,5,5
17031060400,2,5,5,5
17031060500,2,2,5,5
17031060800,5,5,5,5
17031060900,5,5,5,5
17031061000,2,5,5,5
17031061100,2,5,5,5
17031061200,2,5,5,5
17031061500,2,5,5,5
17031061800,5,5,5,5
17031061901,5,5,5,5
17031061902,5,5,5,5
17031062000,5,5,5,5
17031062100,2,5,5,5
17031062200,2,5,5,5
17031062300,3,5,5,5
17031062400,2,5,5,5
17031062500,2,5,5,5
17031062600,2,2,5,5
17031062700,2,2,5,5
17031062800,2,5,5,5
17031062900,2,5,5,5
17031063000,5,5,5,5
17031063100,5,5,5,5
17031063200,5,5,5,5
17031063301,5,5,5,5
17031063302,5,5,5,5
17031063303,5,5,5,5
17031063400,5,5,5,5
17031070101,5,5,5,5
17031070102,5,5,5,5
17031070103,5,5,5,5
17031070200,5,5,5,5
17031070300,5,5,5,5
17031070400,5,5,5,5
17031070500,2,5,5,5
17031070600,3,5,5,5
17031070700,3,3,5,5
17031071000,5,5,5,5
17031071100,5,5,5,5
17031071200,5,5,5,5
17031071300,5,5,5,5
17031071400,5,5,5,5
17031071500,5,5,5,5
17031071600,5,5,5,5
17031071700,5,5,5,5
17031071800,5,5,5,5
17031080100,5,5,5,5
17031080201,5,5,5,5
17031080202,5,5,5,5
17031080300,5,5,5,5
17031080400,0,0,5,5
17031081000,5,5,5,5
17031081100,5,5,5,5
17031081201,5,5,5,5
17031081202,5,5,5,5
17031081300,5,5,5,5
17031081500,5,5,5,5
17031081700,0,5,5,5
17031081900,0,0,0,5
17031090100,1,1,1,1
17031090200,1,1,1,1
17031090300,1,1,1,1
17031100100,1,1,1,1
17031100200,1,1,1,1
17031100300,1,1,1,1
17031100400,1,1,1,1
17031100500,1,1,1,1
17031100600,1,1,1,1
17031100700,1,1,1,1
17031110100,1,1,1,1
17031110200,1,1,1,2
17031110300,1,1,1,1
17031110400,1,1,1,2
17031110501,1,1,2,2
17031110502,1,1,2,2
17031120100,1,1,1,1
17031120200,1,1,1,1
17031120300,1,1,1,1
17031120400,1,1,1,1
17031130100,1,2,1,1
17031130200,1,1,2,1
17031130300,2,2,2,2
17031140100,2,2,2,3
17031140200,2,2,2,2
17031140301,2,2,2,2
17031140302,2,2,2,2
17031140400,1,2,2,2
17031140500,2,2,2,3
17031140601,2,2,3,3
17031140602,2,2,3,3
17031140701,2,2,3,2
17031140702,2,2,3,3
17031140800,2,2,2,2
17031150200,1,2,2,2
17031150300,1,1,2,2
17031150401,1,1,1,1
17031150402,1,1,1,2
17031150501,1,1,1,1
17031150502,1,1,1,1
17031150600,1,1,1,1
17031150700,1,1,2,1
17031150800,1,1,2,2
17031151001,2,2,2,3
17031151002,2,2,2,3
17031151100,1,2,2,2
17031151200,1,1,2,1
17031160100,1,2,2,1
17031160200,1,2,2,1
17031160300,2,2,2,2
17031160400,2,2,2,2
17031160501,2,2,3,3
17031160502,2,2,3,3
17031160601,2,2,2,2
17031160602,2,2,2,2
17031160700,2,2,2,2
17031160800,2,2,2,2
17031160900,2,2,2,1
17031161000,1,2,5,5
17031161100,2,1,2,1
17031161200,1,2,3,2
17031161300,2,2,2,2
17031170200,1,1,1,1
17031170300,1,1,1,1
17031170400,1,1,1,1
17031170500,1,1,1,1
17031170600,1,1,1,1
17031170700,1,1,1,1
17031170800,1,1,1,1
17031170900,1,1,1,1
17031171000,1,1,1,1
17031171100,1,1,1,1
17031180100,1,1,1,2
17031190100,2,2,3,3
17031190200,1,2,3,3
17031190300,1,2,2,3
17031190401,1,2,2,3
17031190402,1,2,2,3
17031190601,1,2,3,3
17031190602,1,2,3,3
17031190701,2,2,3,3
17031190702,2,2,3,3
17031190800,1,2,3,3
17031190900,2,2,3,3
17031191000,2,3,3,3
17031191100,2,3,3,3
17031191200,2,3,3,3
17031191301,2,2,3,3
17031191302,2,2,3,3
17031200100,1,2,3,3
17031200200,2,3,3,3
17031200300,2,3,3,3
17031200401,3,3,3,3
17031200402,3,3,3,3
17031210100,2,3,3,2
17031210400,2,2,3,3
17031210501,2,2,3,3
17031210502,2,2,3,3
17031210601,2,3,3,3
17031210602,2,3,3,3
17031210700,3,3,3,2
17031210800,3,3,3,3
17031210900,3,3,3,2
17031220300,3,3,2,5
17031220400,2,3,2,5
17031220500,3,3,2,5
17031220601,3,3,3,2
17031220602,3,3,3,5
17031220701,2,3,3,3
17031220702,2,3,3,3
17031220901,3,3,3,3
17031220902,3,3,3,3
17031221000,3,3,3,3
17031221100,3,3,3,2
17031221200,3,3,3,5
17031221300,3,3,3,2
17031221400,3,3,3,3
17031221500,3,3,3,2
17031221600,3,3,5,5
17031222200,3,3,5,5
17031222500,3,3,3,3
17031222600,3,3,3,5
17031222700,3,3,3,3
17031222800,3,0,3,3
17031222900,3,3,3,3
17031230100,0,3,3,2
17031230200,3,3,3,3
17031230300,3,3,3,3
17031230400,3,3,3,3
17031230500,3,3,3,3
17031230600,3,3,3,3
17031230700,3,3,3,3
17031230800,3,3,3,3
17031230900,3,3,3,3
17031231100,0,4,4,4
17031231200,3,0,0,0
17031231500,0,0,0,0
17031240200,3,3,5,5
17031240300,3,3,5,5
17031240500,3,3,5,5
17031240600,3,3,3,5
17031240700,3,3,3,3
17031240800,3,3,3,3
17031240900,3,3,3,2
17031241000,3,3,3,2
17031241100,3,3,3,5
17031241200,3,3,5,5
17031241300,0,0,5,5
17031241400,3,3,5,5
17031241500,3,3,5,5
17031241600,3,3,3,5
17031242000,3,3,2,5
17031242100,3,3,2,5
17031242200,3,3,5,5
17031242300,2,3,5,5
17031242400,2,2,5,5
17031242500,3,3,3,2
17031242600,3,3,3,5
17031242700,3,3,3,3
17031242800,2,2,1,5
17031242900,3,3,5,5
17031243000,3,3,2,5
17031243100,3,3,3,2
17031243200,3,3,3,5
17031243300,3,3,5,5
17031243400,3,3,2,5
17031243500,3,3,5,5
17031250200,2,4,4,4
17031250300,2,4,4,4
17031250400,2,4,4,4
17031250500,1,1,1,1
17031250600,2,4,4,4
17031250700,3,4,4,4
17031250800,2,4,4,4
17031251000,0,0,0,0
17031251100,0,4,4,0
17031251200,0,4,4,4
17031251300,4,4,4,0
17031251400,0,4,4,4
17031251500,0,4,4,0
17031251600,0,4,0,0
17031251700,0,0,4,0
17031251800,0,0,0,0
17031251900,0,0,0,0
17031252000,0,0,0,0
17031252101,0,0,4,4
17031252102,0,0,4,4
17031252201,4,0,4,4
17031252202,4,0,4,0
17031260100,0,4,0,0
17031260200,0,0,0,0
17031260300,0,0,0,0
17031260400,0,4,0,0
17031260500,4,4,0,0
17031260600,4,4,0,0
17031260700,0,0,0,0
17031260800,0,0,0,0
17031260900,0,0,0,0
17031261000,0,4,4,0
17031270500,0,0,0,0
17031271200,0,0,0,0
17031271300,0,0,0,0
17031271400,0,0,0,0
17031271500,0,0,4,0
17031271800,0,0,0,0
17031280100,2,2,5,5
17031280400,0,0,0,4
17031280800,0,0,0,0
17031280900,4,0,0,0
17031282700,3,3,0,5
17031282800,3,3,2,2
17031283100,5,5,5,5
17031283200,0,0,0,5
17031283800,0,0,0,5
17031290900,0,0,0,0
17031291200,0,0,0,0
17031291600,3,3,3,3
17031292200,0,0,0,0
17031292400,0,0,0,0
17031292500,4,4,4,0
17031300500,3,3,3,3
17031300600,3,3,3,3
17031300700,3,3,3,3
17031300800,3,3,3,3
17031300900,3,3,3,3
17031301100,3,3,3,3
17031301200,3,3,3,3
17031301600,3,3,3,3
17031301701,3,3,3,3
17031301702,3,3,3,3
17031301801,3,3,3,3
17031301802,3,3,3,3
17031301803,3,3,3,3
17031310200,3,3,3,2
17031310300,3,3,3,2
17031310400,3,3,3,3
17031310500,3,3,3,3
17031310600,3,3,3,3
17031310700,3,3,3,3
17031310800,3,3,3,3
17031310900,3,3,3,3
17031320100,2,5,5,5
17031330100,4,5,5,5
17031340300,2,2,2,2
17031340400,2,2,2,2
17031340500,1,2,2,2
17031351000,5,4,4,2
17031351100,0,0,0,0
17031351400,0,0,0,0
17031351500,0,0,0,0
17031360200,0,0,0,0
17031380100,0,0,0,0
17031380200,0,4,4,4
17031380700,0,0,0,0
17031381200,0,0,0,4
17031381400,0,0,0,0
17031381800,0,0,0,0
17031381900,0,0,0,4
17031390100,0,0,0,4
17031390200,0,0,0,4
17031390300,0,0,0,0
17031390400,0,0,0,4
17031390500,5,5,5,5
17031390600,5,5,5,5
17031390700,5,5,5,2
17031400300,0,0,0,0
17031400400,0,0,0,0
17031400500,0,0,0,0
17031400800,0,0,0,0
17031410100,5,5,5,5
17031410200,5,5,5,5
17031410500,4,4,4,5
17031410600,5,5,5,5
17031410700,5,5,5,5
17031410800,5,5,5,2
17031410900,5,5,5,5
17031411000,5,5,5,5
17031411100,5,5,5,5
17031411200,5,5,5,5
17031420200,0,0,0,4
17031420300,0,0,0,5
17031420400,0,0,0,4
17031420500,4,0,0,0
17031420600,0,0,0,0
17031420700,0,0,0,0
17031420800,0,0,0,0
17031421200,4,4,0,0
17031430101,0,4,4,0
17031430102,0,4,4,4
17031430200,0,0,4,0
17031430300,0,0,0,0
17031430400,4,0,0,0
17031430500,0,0,0,0
17031430600,0,4,4,4
17031430700,4,0,0,4
17031430800,4,4,4,4
17031430900,4,4,4,0
17031431200,4,4,4,4
17031431301,0,0,0,0
17031431302,0,0,0,0
17031431400,4,0,4,4
17031440101,4,0,0,0
17031440102,4,0,0,0
17031440201,4,4,4,0
17031440202,4,4,4,4
17031440300,4,4,4,4
17031440600,4,4,4,4
17031440700,4,4,4,4
17031440800,4,4,4,0
17031440900,4,4,4,4
17031450300,4,4,4,4
17031460100,3,0,0,0
17031460200,3,3,0,0
17031460301,3,0,0,0
17031460302,3,0,0,0
17031460400,4,4,4,4
17031460500,4,4,4,4
17031460600,3,3,0,4
17031460700,3,3,3,0
17031461000,3,3,0,4
17031470100,4,4,4,4
17031480100,4,4,4,4
17031480200,4,4,4,4
17031480300,4,4,4,4
17031480400,4,4,4,4
17031480500,4,4,4,4
17031490300,4,4,4,4
17031490400,4,4,4,4
17031490500,4,4,4,4
17031490600,4,4,4,4
17031490700,4,4,4,4
17031490800,4,4,4,4
17031490901,4,4,4,0
17031490902,4,4,4,4
17031491000,4,4,4,0
17031491100,4,4,4,4
17031491200,4,4,4,4
17031491300,4,4,4,0
17031491400,0,0,0,0
17031500100,4,4,4,4
17031500200,0,0,0,0
17031500300,2,2,3,4
17031510100,3,3,3,3
17031510200,4,4,4,4
17031510300,4,4,4,4
17031520100,2,3,3,3
17031520200,3,3,3,3
17031520300,1,1,3,3
17031520400,1,1,3,3
17031520500,1,1,1,1
17031520600,1,1,1,1
17031530100,3,3,0,4
17031530200,4,4,4,0
17031530300,4,4,4,4
17031530400,4,4,4,4
17031530501,4,4,4,0
17031530502,4,4,4,4
17031530503,4,4,4,4
17031530600,4,4,4,4
17031540101,0,0,0,0
17031540102,0,0,0,0
17031550100,1,1,1,1
17031550200,1,1,1,1
17031560100,2,3,3,2
17031560200,4,4,4,4
17031560300,1,1,1,1
17031560400,1,1,1,2
17031560700,1,1,1,2
17031560800,1,1,1,1
17031560900,1,1,1,1
17031561000,1,1,1,1
17031561100,1,1,1,1
17031570100,1,1,3,3
17031570200,1,1,1,3
17031570300,1,1,2,3
17031570400,1,2,3,3
17031570500,1,1,2,3
17031580100,2,3,3,3
17031580200,2,3,3,3
17031580300,3,3,3,3
17031580400,1,2,3,3
17031580501,2,2,3,3
17031580502,2,2,3,3
17031580600,2,2,3,3
17031580700,2,2,3,3
17031580800,2,3,3,3
17031590500,2,2,2,3
17031590600,1,3,3,2
17031590700,1,3,3,3
17031600400,2,2,2,2
17031600600,2,2,2,2
17031600700,1,2,2,2
17031600900,3,2,2,2
17031610300,3,3,3,3
17031610400,3,3,3,3
17031610800,4,4,1,1
17031611000,0,0,0,0
17031611100,3,3,3,3
17031611200,3,3,3,3
17031611300,3,3,3,3
17031611400,3,3,3,3
17031611500,2,3,3,3
17031611600,3,0,0,0
17031611700,3,0,0,0
17031611800,3,0,0,0
17031611900,3,0,0,0
17031612000,0,0,0,0
17031612100,0,0,0,0
17031620100,1,1,3,3
17031620200,1,1,2,3
17031620300,1,1,1,3
17031620400,1,1,3,3
17031630100,3,3,3,3
17031630200,2,3,3,3
17031630300,1,1,3,3
17031630400,1,2,3,3
17031630500,2,3,3,3
17031630800,1,2,3,3
17031630900,1,1,3,3
17031640100,1,1,2,2
17031640300,1,1,1,1
17031640400,1,1,1,1
17031640500,1,1,1,1
17031640600,1,1,1,2
17031640700,1,1,1,3
17031640800,1,1,2,3
17031650100,1,1,3,3
17031650200,1,1,1,3
17031650301,1,1,1,3
17031650302,1,1,1,3
17031650400,1,1,1,3
17031650500,1,1,1,3
17031660301,1,3,3,0
17031660302,1,3,3,3
17031660400,1,1,3,3
17031660500,1,1,3,3
17031660600,2,3,0,0
17031660700,4,4,4,0
17031660800,2,3,4,3
17031660900,2,2,0,0
17031661000,1,4,4,4
17031661100,1,1,4,4
17031670100,0,0,0,0
17031670200,0,0,0,0
17031670300,0,0,0,0
17031670400,0,4,4,0
17031670500,4,4,4,0
17031670600,0,4,0,4
17031670700,0,4,0,0
17031670800,4,4,0,0
17031670900,4,4,0,0
17031671100,0,4,0,0
17031671200,0,0,0,0
17031671300,0,4,0,0
17031671400,4,4,4,4
17031671500,0,4,0,0
17031671600,0,4,0,0
17031671800,4,4,4,0
17031671900,4,4,4,0
17031672000,4,4,4,4
17031680500,0,0,0,0
17031680600,0,0,0,0
17031680900,0,0,0,0
17031681000,4,0,0,0
17031681100,0,0,0,0
17031681200,0,0,0,0
17031681300,0,0,0,0
17031681400,4,4,4,0
17031690300,4,0,0,0
17031690400,4,4,0,0
17031690500,4,4,0,0
17031690900,4,4,4,0
17031691000,4,4,4,4
17031691100,0,0,0,0
17031691200,4,0,0,0
17031691300,4,4,4,4
