geoid,year,"% speaking other language at home, age 5+",% female-headed families with children,"Median HH income, blacks","Median HH income, Hispanics","Median HH income, Asian/ Pacific Islanders",Per capita income
6073000100,2000,12.78521365,3.796109665,18682.49868,81324.20465,89227.97016,80993.21845
6073000201,2000,15.52473274,9.128977645,106590.397,63614.58415,52501.31697,51661.75613
6073000202,2000,15.52473257,9.128978354,106590.3992,63614.58175,52501.31848,51661.75562
6073000300,2000,16.05937922,7.601351351,56977.34282,60357.35469,33816.94297,50858.83155
6073000400,2000,16.01269475,7.988980716,53136.54567,54494.0688,45822.31825,43609.05101
6073000500,2000,11.79245283,12.71929825,29316.42942,46216.48873,56218.56465,51570.70344
6073000600,2000,16.46979413,11.19592875,48285.88375,49550.9739,72198.89284,39097.76987
6073000700,2000,11.83390077,5.352858639,62725.74972,46668.35195,35446.64288,46921.10303
6073000800,2000,22.66477003,13.25301205,35639.121,48630.78292,41962.73231,34895.51839
6073000900,2000,34.26885949,25.59652928,31715.54804,31903.17319,33800.11862,23871.16133
6073001000,2000,27.64753436,19.7740113,40571.17912,48183.79359,52597.12337,28321.74021
6073001100,2000,24.52465356,20.82616179,54379.56228,33124.11625,42077.6987,28817.01542
6073001200,2000,31.43059741,27.35507246,39370.93001,33034.44247,51734.87544,21714.85172
6073001300,2000,34.22874094,25.87719298,41797.64057,39063.27995,57483.19494,23084.79122
6073001400,2000,26.53061224,17.09265176,30491.84579,48810.13049,30609.8013,32430.17912
6073001500,2000,28.95261845,20.51915946,30696.0261,36214.41281,56848.89761,28957.73428
6073001600,2000,48.26967026,30.60240964,31852.12811,35652.91696,36036.0167,19079.82206
6073001700,2000,33.79450661,26.31058358,38842.54448,31836.95255,23326.07542,19946.20878
6073001800,2000,35.25743524,29.9512987,40506.33808,30650.49941,47815.5667,22680.5694
6073001900,2000,18.43177189,10.30769231,43112.3962,48501.10083,59552.58996,40727.07355
6073002001,2000,10.96754808,4.022346369,-9999,140041.4792,144592.3442,70596.72123
6073002002,2000,16.26338754,6.890130354,27400.16963,68732.88612,33052.83709,47055.28351
6073002100,2000,40.73013601,24.02826855,28070.65362,38068.59075,19882.42273,22897.16607
6073002201,2000,65,29.77941176,33012.36892,28971.53025,13698.81209,10769.13167
6073002202,2000,68.92610837,24.06563355,28349.33215,24903.09964,25762.92282,10535.97983
6073002301,2000,58.22481151,22.47706422,35524.61447,29454.38909,26223.28607,17162.18268
6073002302,2000,69.50365181,25.07062147,21254.06643,30210.40807,26199.07155,14706.50059
6073002401,2000,60.03292658,26.63274171,45167.99364,29135.70145,64220.22841,15098.30602
6073002402,2000,69.67855743,24.97704316,25497.70581,26413.75801,32873.20211,9977.243179
6073002501,2000,63.74527286,20.62463739,47422.37867,33954.08241,31844.53161,13795.02515
6073002502,2000,42.53502063,21.53729079,44261.60188,49395.07999,51558.00454,20493.90878
6073002601,2000,70.0937561,20.26604105,30627.0451,31003.67654,41653.2085,11541.70563
6073002602,2000,65.20038089,24.7136368,29004.02833,44054.31669,26117.62379,19436.90507
6073002702,2000,28.87994918,17.76859504,42595.04745,52242.56702,30849.31462,25729.47805
6073002703,2000,35.79959671,18.3604336,45268.70581,49148.13167,49941.39976,21618.27995
6073002705,2000,46.1311717,11.77083333,59322.65718,58632.85884,53906.4628,21309.2503
6073002707,2000,68.94832276,25.56943424,22806.11269,28009.95136,30314.82175,12732.29775
6073002708,2000,65.96644579,28.31737346,20866.39976,23557.99288,33455.21945,9875.153025
6073002709,2000,59.35422602,27.69953052,26503.43179,34876.20403,56135.31312,11432.71767
6073002710,2000,61.37997125,23.90011891,26976.63345,27400.16963,37736.0268,11961.1032
6073002711,2000,37.70998127,19.0476195,41570.00531,36214.41162,40386.58143,20611.1742
6073002712,2000,37.70998143,19.04761842,41570.00628,36214.41343,40386.57946,20611.17347
6073002801,2000,19.75635593,3.098591549,83351.09253,20223.50771,54198.44095,22080.44484
6073002803,2000,33.25991189,15.84800741,39663.40451,31327.88138,18805.21663,25413.55042
6073002804,2000,20.95153004,8.114856429,26442.72954,39663.40451,33176.01537,24918.27521
6073002902,2000,21.20984606,14.90032734,49293.48485,45822.83918,83413.05381,29290.07898
6073002903,2000,29.64160604,12.96703297,80103.52195,45242.49348,79013.26431,24089.1376
6073002904,2000,19.34665871,8.536585366,25148.66785,42767.49703,32026.35146,19703.39976
6073002905,2000,20.28804897,13.89059195,28835.45355,49766.65783,37476.89133,26414.23344
6073003001,2000,28.91353668,19.87179487,59064.6726,55643.27284,64381.17834,22085.96323
6073003003,2000,31.16856256,14.05975395,74153.32147,67255.33808,46865.7107,23603.51957
6073003004,2000,59.04841055,21.57057654,50385.62989,43517.99763,38940.22883,13778.03203
6073003101,2000,30.12372243,23.74701671,53307.61566,50872.62752,75877.81732,17821.62989
6073003103,2000,34.92450073,16.07530775,67309.14235,56866.97509,58140.14573,18776.31079
6073003105,2000,44.94840413,15.00547645,63691.83986,47372.59075,75250.72793,17024.22301
6073003107,2000,38.94395079,10.2281089,68742.5433,62426.7497,76206.29272,23066.85647
6073003108,2000,34.27103057,11.32286996,63806.34638,80189.05694,74399.67802,21082.99644
6073003109,2000,60.64324154,8.231338531,69101.08785,68423.15625,90749.91034,20867.28322
6073003111,2000,50.9699321,26.9470405,35557.72479,38344.51008,64381.17834,13915.9917
6073003112,2000,47.36842105,16.63286004,56269.60973,41805.91815,84575.27465,17324.97509
6073003113,2000,51.1576845,10.19088274,80454.17984,60980.01112,82531.26938,18833.87564
6073003114,2000,49.24284913,8.723958333,80110.41993,62848.90629,93344.4967,21815.56228
6073003115,2000,54.01310998,20.14925373,34803.08541,74153.32147,83331.34299,18155.49229
6073003201,2000,47.29297642,10.33574508,50386.55168,50725.37457,65658.78731,19240.19953
6073003202,2000,53.81570266,11.56648452,90643.64057,58632.85884,69439.69948,22190.81257
6073003204,2000,41.50883838,8.038976857,81913.55279,76319.28826,81242.91551,30163.50178
6073003207,2000,34.78642995,10.73298429,68309.34994,74645.83749,85597.70302,37173.2325
6073003208,2000,46.34247714,18.1315644,69775.86121,50614.64294,71525.51828,22508.11981
6073003209,2000,44.7358631,19.03703704,58089.29775,51107.15896,66157.93162,22843.3618
6073003211,2000,42.85714286,13.08900524,59016.38671,73769.79359,65530.84223,21136.80071
6073003212,2000,41.92203972,10.84210526,66297.89798,77861.67734,75577.905,24498.87782
6073003213,2000,54.48703745,8.300395257,80804.35706,72536.43416,110552.5017,26039.88731
6073003214,2000,34.58225573,16.50983617,76855.95399,58374.87517,74646.03376,24238.13505
6073003301,2000,59.28019036,30.27027027,36429.62989,44125.02017,43896.25796,13606.96204
6073003303,2000,58.2942313,27.83641161,31040.92527,28567.30842,21556.1981,10494.59193
6073003304,2000,51.29938652,30.62977022,29542.68287,31522.4047,48094.27434,13144.79707
6073003305,2000,51.31622542,30.59283668,29550.46361,31582.47201,48195.68383,13156.2506
6073003401,2000,32.98811545,16.54186521,49822.75445,49455.78173,66105.67418,19991.73547
6073003403,2000,62.6984127,21.85730464,30244.89798,41185.09964,35441.36295,12357.04745
6073003404,2000,64.79508197,24.1617357,27513.29656,33940.83749,44960.07032,10141.41518
6073003501,2000,62.99581178,29.79452055,24718.23369,27287.0427,23157.51568,12595.71767
6073003502,2000,63.70290635,22.19827586,26622.07711,33444.18268,93918.69697,13517.28826
6073003601,2000,67.24937567,19.53818828,21948.00356,34351.9573,58632.85884,11962.4828
6073003602,2000,65.74933687,23.57859532,58385.91103,35219.72361,42955.62386,9883.430605
6073003603,2000,75.3101145,23.39707537,48142.40569,33589.04033,67830.17003,10505.62871
6073003800,2000,22.734276,-9999,-9999,-9999,-9999,23752.51611
6073003901,2000,64.73889702,22.71016311,25137.63108,33698.02847,-9999,12260.47568
6073003902,2000,69.08231587,24.7,27591.93357,32334.98695,12263.08159,10824.31554
6073004000,2000,67.55361398,25.1059322,30229.72242,31963.87544,61047.15302,10271.09727
6073004100,2000,59.65480098,20.90012358,38314.70318,32921.62273,62363.84443,17071.09038
6073004200,2000,25.15948729,13.12066106,52280.56295,51132.40669,74334.57452,32990.84321
6073004300,2000,26.05374078,15.05791506,39910.35231,35098.3191,53650.98194,34469.22301
6073004400,2000,30.47078332,17.31562878,49780.40187,36064.93688,64840.83616,28567.45965
6073004501,2000,57.68908736,21.82890855,52453.64531,34691.33808,31040.92527,19016.36062
6073004600,2000,46.99693117,20.04950495,20521.50059,29808.94543,25621.08117,22665.39383
6073004700,2000,66.48155494,28.92561983,21601.72479,27016.64176,17628.17978,9232.260973
6073004800,2000,69.4059201,24.89270386,21489.97746,28964.63227,-9999,9083.264531
6073004900,2000,73.65376945,22.4952741,24028.43535,32838.53974,107780.9905,10555.29419
6073005000,2000,82.79835391,25.30864198,22418.44603,33002.71174,27591.93357,11416.16251
6073005100,2000,35.625,23.48484848,14912.0605,21663.80664,177623.0724,14265.02966
6073005200,2000,26.51573292,11.71171171,22418.44603,26384.78648,22354.5758,28614.21471
6073005300,2000,32.83798478,5.519480519,37816.12456,16382.71056,12962.14462,30814.67141
6073005400,2000,19.65425532,4.107142857,52424.67378,15426.65006,34489.91696,62280.51246
6073005500,2000,32.1294811,8.808290232,17072.50982,20447.00279,19910.0889,35099.4015
6073005600,2000,26.04756545,8.80829038,17072.50899,20447.00215,19910.08793,28302.42507
6073005700,2000,28.05755396,13.41463415,29924.83155,30958.14947,35256.35957,24170.53381
6073005800,2000,46.83257919,17.56756757,49435.08778,36417.21352,29316.42942,25606.69395
6073005900,2000,23.22957198,8.192090395,41785.2242,41387.90036,50585.21155,34535.44365
6073006000,2000,17.77914488,6.172839506,56908.36299,45268.70581,88983.98577,50291.81732
6073006100,2000,37.03857321,11.39240506,66565.53974,33532.47687,33997.20386,40131.08778
6073006200,2000,32.14285714,0,-9999,-9999,-9999,43618.70819
6073006300,2000,24.16452442,0,-9999,-9999,-9999,14463.69158
6073006500,2000,20.31077854,11.14166861,18711.14963,28233.08383,30502.39058,32282.5931
6073006600,2000,22.8429212,6.86456428,44729.28299,49262.63747,38801.15726,14949.3094
6073006801,2000,19.3638171,18.77256318,32094.93713,29316.42942,36998.27456,38497.64531
6073006802,2000,22.10922303,16.44682476,50010.08829,70488.01011,30696.404,34021.54648
6073006900,2000,9.910610183,7.675276753,94847.27165,85879.89324,82245.18661,50493.23843
6073007002,2000,12.2634222,4.812131058,83022.74699,124989.1226,82056.91788,56070.54296
6073007100,2000,10.58324496,3.689759036,-9999,86800.08422,67063.72743,71334.80546
6073007200,2000,8.692380056,4.081632653,-9999,107658.2064,60702.25386,44301.60854
6073007301,2000,12.11583924,10.41162228,18969.45433,51087.8446,91489.04289,36106.80427
6073007302,2000,10.63727839,5.215827338,-9999,131512.8126,93122.7758,53517.31435
6073007400,2000,13.44160866,13.19587629,71443.79359,35593.59431,72878.69411,34892.75919
6073007501,2000,11.45909201,17.66612642,48038.93594,52648.16845,60224.70115,29149.49822
6073007502,2000,12.71401395,14.98973306,26729.68565,43582.83867,52597.12337,32649.53499
6073007600,2000,12.92243426,8.359258754,44589.68501,22112.92947,33457.25179,45284.8088
6073007701,2000,12.24599623,5.000000406,90490.50608,70704.32743,56281.27208,50934.71059
6073007702,2000,12.24599678,4.99999959,90490.50459,70704.33215,56281.27511,50934.70814
6073007800,2000,25.29460554,12.36842155,71889.40175,37740.24726,63022.48292,27952.00726
6073007903,2000,12.76155431,9.546925633,24789.97196,52205.31824,82775.79728,38218.96709
6073007905,2000,13.73456759,6.240000343,43716.65955,55858.49037,45039.77391,41474.81598
6073007907,2000,18.36559964,9.282700622,243330.5106,38678.3712,80189.05686,36262.69965
6073007908,2000,18.36559898,9.282701022,243330.5053,38678.37147,80189.0573,36262.69861
6073007910,2000,13.73456787,6.239999874,43716.66064,55858.48997,45039.77504,41474.81413
6073008002,2000,11.04721672,5.974079784,39244.70755,59615.55692,77916.74383,48449.17182
6073008003,2000,12.455882,7.602338682,63159.31435,48285.88408,59322.65711,46915.94429
6073008006,2000,12.45588196,7.602338898,63159.31522,48285.8827,59322.6562,46915.94365
6073008101,2000,18.55847021,11.36094675,15520.46263,52191.52195,75877.81732,62773.02847
6073008102,2000,14.92811257,4.615384615,26634.49348,52205.31791,135085.5081,79321.29063
6073008200,2000,20.8675649,6.055646481,32765.42112,47998.92764,120714.7094,77696.12574
6073008301,2000,13.50411159,2.742857121,81051.30217,91398.28045,128474.9382,63236.57515
6073008303,2000,24.93491467,3.326996198,-9999,156380.0427,178720.4787,111874.2539
6073008305,2000,41.28453039,8.418367347,38801.15658,85649.50059,27540.45609,9720.638197
6073008306,2000,20.46632124,3.657262278,236971.9419,67255.33808,130933.944,49015.69039
6073008307,2000,15.64607499,5.653021442,36214.41281,138608.0783,89673.7841,55052.80546
6073008310,2000,24.25474255,2.684563758,-9999,140394.656,106056.4947,87691.30368
6073008311,2000,27.09149163,2.520045819,141083.0747,166191.7343,140833.8276,100219.4211
6073008312,2000,18.79145744,2.922823032,32984.95174,22156.89333,118251.367,93334.84056
6073008313,2000,27.28106373,3.924646782,111040.9775,117874.1198,61736.95136,81868.0261
6073008324,2000,16.89003503,5.351997235,44369.42864,104603.1059,140725.0597,75318.94144
6073008327,2000,21.15653041,8.616780045,154906.6335,67994.8019,118930.7481,63575.95374
6073008328,2000,16.98602651,4.41288391,-9999,185519.081,218389.5854,92299.59078
6073008329,2000,19.49700046,18.87159533,117940.3405,76661.42823,76074.90255,54389.21945
6073008330,2000,27.27942531,11.64522681,77602.31317,130187.0202,140682.556,57705.76987
6073008331,2000,19.3422083,10.72961373,-9999,119980.7639,182303.8467,51467.23369
6073008333,2000,25.21332232,6.865671642,62081.85053,86092.35113,181072.0641,69724.81613
6073008335,2000,27.95669317,3.487486314,106146.1639,110873.7673,129337.3183,38146.29308
6073008336,2000,15.47244094,4.335260116,207611.3654,85937.8363,107449.3567,39517.16726
6073008337,2000,26.48892777,5.364626774,149556.5575,141290.0211,101809.1287,36513.78536
6073008339,2000,36.21468927,6.722689076,36214.41281,36214.41281,22849.56999,30226.96323
6073008340,2000,29.51867722,5.551973484,105645.6329,69983.59642,94604.11873,60043.07126
6073008341,2000,31.39467593,4.620462046,275920.7153,56000.58837,68290.03559,54092.60617
6073008343,2000,44.57862282,14.65648855,68332.80308,30377.33926,53459.37129,28764.59075
6073008344,2000,21.14399601,6.928645057,141083.0747,67470.55433,108956.7788,43654.57777
6073008345,2000,23.14670003,6.273525721,25867.43772,89328.88493,63288.99763,50738.80664
6073008346,2000,36.3657354,2.739726027,-9999,108583.9158,118015.4985,53332.4484
6073008347,2000,36.0911271,6.457680251,123527.707,93369.72361,105825.6195,34630.63582
6073008348,2000,42.98428328,6.5830721,85163.88256,83853.26572,98881.09237,33611.11388
6073008349,2000,42.56906077,7.710280374,96448.98339,82528.85291,78851.08602,28669.39858
6073008350,2000,47.82145034,7.00843608,75877.81732,60357.35469,84625.92208,31103.00712
6073008351,2000,44.3221831,6.040268456,66135.10558,96166.16607,84385.33017,28003.05338
6073008352,2000,41.55695478,9.541062802,76453.10913,99637.23132,85978.43586,28650.08422
6073008353,2000,32.65817901,6.034482759,99281.29537,107520.2467,104928.9397,30795.35706
6073008354,2000,37.88175411,6.045156591,92165.33571,104472.7177,120024.911,43072.3879
6073008355,2000,45.02836668,5.056890013,96414.49348,102499.8944,95832.69784,31045.06406
6073008356,2000,34.7545582,8.936651584,64668.59431,63231.05457,73261.34087,32604.0083
6073008357,2000,49.00856242,8.442776735,72428.82562,64381.6382,78422.15546,29453.00949
6073008358,2000,43.84458673,9.051456913,98296.26335,53731.15184,85462.03462,25544.6121
6073008359,2000,38.25547207,14.74269819,49665.48043,44147.09371,56233.56027,29166.05338
6073008360,2000,40.61813883,11.49751597,63806.34638,66601.40925,90150.77232,28692.85172
6073008361,2000,32.36167812,8.426965892,37025.61636,85403.93034,49665.47821,51841.1053
6073008362,2000,32.36167896,8.426965747,37025.61455,85403.93266,49665.48124,51841.10643
6073008363,2000,37.47814582,6.618962519,94560.31486,80476.01486,53390.39249,38043.75762
6073008364,2000,37.47814735,6.618962384,94560.31622,80476.01444,53390.39044,38043.75623
6073008365,2000,31.68080108,4.248229904,117265.7177,151457.6437,136881.8625,42465.36528
6073008366,2000,31.56370682,4.229785348,116510.6736,150596.9107,136652.2958,42329.72269
6073008501,2000,19.46985253,9.782608696,244686.6465,76644.87307,78000.27375,36821.43535
6073008502,2000,25.69021993,11.01895735,31385.82444,57770.61091,47618.33697,30534.61329
6073008503,2000,21.46822203,8.948043907,90104.57732,51429.69708,62531.72468,39041.04054
6073008504,2000,19.47751323,9.25684485,46346.17082,56046.11507,97557.19369,31344.43654
6073008505,2000,29.43784359,10.21542738,51159.58363,66772.47924,66297.28484,27420.86358
6073008506,2000,30.34607438,10.03070624,50010.3796,54080.1898,52796.10366,27775.41993
6073008507,2000,31.44121365,12.42759347,43974.64413,40658.09371,55822.5693,25260.41518
6073008509,2000,31.37996219,14.51990632,41230.62633,35760.5255,54198.44095,28921.86477
6073008510,2000,28.7025888,10.96491228,31040.92527,43759.42705,61315.40793,29941.38671
6073008511,2000,17.33887532,10.53274764,66756.92535,57293.5048,105635.1124,24531.2785
6073008512,2000,15.96457635,5.593803787,6528.251483,85413.58956,87551.32767,40471.84816
6073008513,2000,13.71514695,7.557354926,94732.76512,61736.95136,90300.8735,38465.91459
6073008600,2000,59.98596491,16.07387141,45052.10913,41963.19217,40071.01262,17462.93476
6073008701,2000,19.78396816,5.48696845,67891.33215,37399.48636,33603.03339,21844.53381
6073008702,2000,28.41616099,12.82269076,71432.78753,52357.89897,65816.03664,26969.38071
6073008800,2000,58.41467022,14.14835165,58919.81495,44291.95136,50428.43919,18688.01661
6073008901,2000,32.85714286,7.74263904,54321.61922,40095.21827,46826.69495,42255.66667
6073008902,2000,18.20860292,6.069363848,56621.40797,94560.31492,63231.51292,48714.94
6073009000,2000,45.03781824,18.46326282,31296.99858,35330.12079,55783.2257,26120.58032
6073009101,2000,12.64584117,7.872340426,33750.45314,62513.66429,92088.07829,41747.97509
6073009102,2000,21.84154176,16.48351648,22418.44603,37393.96797,33627.66904,34474.7414
